OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
1913034,LOP231225000511,E 11TH ST&26TH AV,11TH ST&26TH AV,415E,LOUD MUSIC,1703510848000,"[-122.2350468, 37.7792233]",6060262,2110841,C,20X,CCD5,12/25/23  1:27:28 PM,1703510933000,20,3,2
1913035,LOP231225000513,101 WASHINGTON ST,WASHINGTON ST,945A,AMBULANCE REQUESTED,1703511063000,"[-122.2780687, 37.7959011]",6047946,2117146,C,01X,CCD3,12/25/23  1:31:03 PM,1703511063000,1,1,1
1913036,LOP231225000514,275 W MACARTHUR BLVD,W MACARTHUR BLVD,MSDIAL,MISDIAL,1703511076000,"[-122.25802, 37.8241422]",6053931,2127318,C,09X,CCD3,12/25/23  1:31:16 PM,1703511076000,9,2,1
1913037,LOP231225000515,3232 FOOTHILL BLVD,FOOTHILL BLVD,484,THEFT,1703511206000,"[-122.2220449, 37.7835561]",6064048,2112349,C,21Y,CCD5,12/25/23  1:33:26 PM,1703529517000,21,3,2
1913038,LOP231225000517,814 MOORPARK AV,MOORPARK AV,R10851,RECOVERED STOLEN VEH,1703511502000,"[-122.1735771, 37.7322107]",6077718,2093402,C,31Z,CCD7,12/25/23  1:38:22 PM,1703538190000,31,5,3
1913039,LOP231225000518,7770 PARDEE LN,PARDEE LN,CKVEH,CHECK VEHICLE,1703511568000,"[-122.2051665, 37.7427313]",6068654,2097397,C,31X,CCD7,12/25/23  1:39:28 PM,1703511568000,31,5,3
1913040,LOP231225000519,2227 SAN PABLO AV,SAN PABLO AV,911C,911 HANG UP FROM CP,1703511606000,"[-122.2740864, 37.8127853]",6049213,2123271,C,07X,CCD3,12/25/23  1:40:06 PM,1703511607000,7,1,1
1913041,LOP231225000520,501 E 12TH ST,E 12TH ST,WELCK,WELFARE CHECK -- CHE,1703511682000,"[-122.2548313, 37.7950159]",6054653,2116697,C,19X,CCD2,12/25/23  1:41:22 PM,1703519114000,19,3,2
1913042,LOP231225000522,3718 GREEN ACRE RD,GREEN ACRE RD,945A,AMBULANCE REQUESTED,1703511751000,"[-122.1908935, 37.7867675]",6073070,2113354,C,25X,CCD4,12/25/23  1:42:31 PM,1703511752000,25,4,2
1913043,LOP231225000521,36TH ST&MARKET ST,ST&MARKET ST,901D,VEHICLE COLLISION-DR,1703511746000,"[-122.2750494, 37.8262714]",6049028,2128186,C,06X,CCD1,12/25/23  1:42:26 PM,1703528451000,6,1,1
1913044,LOP231225000523,831 28TH ST,28TH ST,945A,AMBULANCE REQUESTED,1703511866000,"[-122.2751685, 37.818367]",6048939,2125309,C,06X,CCD3,12/25/23  1:44:26 PM,1703511866000,6,1,1
1913045,LOP231225000525,35 HEGENBERGER PL,HEGENBERGER PL,933R,ALARM-RINGER,1703511965000,"[-122.1986494, 37.7310691]",6070461,2093117,C,31Y,CCD7,12/25/23  1:46:05 PM,1703520648000,31,5,3
1913046,LOP231225000527,3020 E 15TH ST,E 15TH ST,911N,POLICE RELATED MATTE,1703512100000,"[-122.2271434, 37.7794135]",6062547,2110868,C,20X,CCD5,12/25/23  1:48:20 PM,1703512101000,20,3,2
1913047,LOP231225000526,7101 EDGEWATER DR,EDGEWATER DR,415C,415 UNKNOWN,1703512070000,"[-122.2094674, 37.7488054]",6067451,2099631,C,31X,CCD7,12/25/23  1:47:50 PM,1703512086000,31,5,3
1913048,LOP231225000524,831 28TH ST,28TH ST,242,BATTERY,1703511918000,"[-122.2751685, 37.818367]",6048939,2125309,C,06X,CCD3,12/25/23  1:45:18 PM,1703516835000,6,1,1
1913049,LOP231225000528,716 NEVADA ST,NEVADA ST,5150,MENTALLY ILL,1703512158000,"[-122.1832832, 37.7377748]",6074948,2095478,C,31Y,CCD7,12/25/23  1:49:18 PM,1703528187000,31,5,3
1913050,LOP231225000530,2300 LAKESHORE AV,LAKESHORE AV,SECCK,SECURITY CHECK,1703512239000,"[-122.2499655, 37.806372]",6056136,2120805,C,15X,CCD2,12/25/23  1:50:39 PM,1703522839000,15,3,2
1913051,LOP231225000531,3RD AV&PARK BLVD,AV&PARK BLVD,929,FIRE,1703512244000,"[-122.2489637, 37.8002945]",6056384,2118587,C,15X,CCD2,12/25/23  1:50:44 PM,1703512244000,15,3,2
